域名,状态,过期日期,剩余天数,备注
00.cz,registered,20.08.2026,283,正常注册，283天后到期
01.cz,registered,24.10.2026,348,正常注册，348天后到期
02.cz,registered,27.10.2026,351,正常注册，351天后到期
03.cz,registered,04.10.2026,328,正常注册，328天后到期
04.cz,registered,24.09.2026,318,正常注册，318天后到期
05.cz,registered,28.02.2026,110,正常注册，110天后到期
06.cz,registered,24.09.2026,318,正常注册，318天后到期
07.cz,registered,21.03.2026,131,正常注册，131天后到期
08.cz,registered,20.04.2026,161,正常注册，161天后到期
09.cz,registered,31.01.2026,82,正常注册，82天后到期
0a.cz,registered,05.07.2026,237,正常注册，237天后到期
0b.cz,registered,31.05.2026,202,正常注册，202天后到期
0c.cz,registered,18.07.2026,250,正常注册，250天后到期
0d.cz,registered,23.05.2026,194,正常注册，194天后到期
0e.cz,registered,31.05.2026,202,正常注册，202天后到期
0f.cz,registered,31.05.2026,202,正常注册，202天后到期
0g.cz,registered,19.06.2026,221,正常注册，221天后到期
0h.cz,registered,21.05.2026,192,正常注册，192天后到期
0i.cz,registered,31.05.2026,202,正常注册，202天后到期
0j.cz,registered,31.05.2026,202,正常注册，202天后到期
0k.cz,registered,30.05.2026,201,正常注册，201天后到期
0l.cz,registered,31.05.2026,202,正常注册，202天后到期
0m.cz,registered,31.05.2026,202,正常注册，202天后到期
0n.cz,registered,19.07.2026,251,正常注册，251天后到期
0o.cz,expiring_soon,27.11.2025,17,即将到期（17天）
0p.cz,registered,16.05.2026,187,正常注册，187天后到期
0q.cz,registered,21.07.2026,253,正常注册，253天后到期
0r.cz,registered,28.05.2026,199,正常注册，199天后到期
0s.cz,expiring_soon,29.12.2025,49,即将到期（49天）
0t.cz,registered,21.05.2026,192,正常注册，192天后到期
0u.cz,registered,31.05.2026,202,正常注册，202天后到期
0v.cz,registered,31.05.2026,202,正常注册，202天后到期
0w.cz,registered,23.05.2026,194,正常注册，194天后到期
0x.cz,registered,29.01.2026,80,正常注册，80天后到期
0y.cz,registered,22.07.2026,254,正常注册，254天后到期
0z.cz,registered,21.05.2026,192,正常注册，192天后到期
10.cz,registered,12.07.2026,244,正常注册，244天后到期
11.cz,registered,11.12.2028,1127,正常注册，1127天后到期
12.cz,registered,04.10.2026,328,正常注册，328天后到期
13.cz,registered,24.10.2031,2174,正常注册，2174天后到期
14.cz,registered,02.10.2026,326,正常注册，326天后到期
15.cz,registered,26.03.2027,501,正常注册，501天后到期
16.cz,registered,23.03.2026,133,正常注册，133天后到期
17.cz,registered,23.02.2026,105,正常注册，105天后到期
18.cz,registered,27.06.2026,229,正常注册，229天后到期
19.cz,registered,21.02.2026,103,正常注册，103天后到期
1a.cz,expired,13.10.2025,-28,已过期（28天前）
1b.cz,registered,26.09.2026,320,正常注册，320天后到期
1c.cz,registered,19.05.2026,190,正常注册，190天后到期
1d.cz,registered,19.05.2026,190,正常注册，190天后到期
1e.cz,registered,17.05.2026,188,正常注册，188天后到期
1f.cz,expiring_soon,17.12.2025,37,即将到期（37天）
1g.cz,registered,06.06.2026,208,正常注册，208天后到期
1h.cz,registered,30.03.2027,505,正常注册，505天后到期
1i.cz,registered,06.02.2030,1549,正常注册，1549天后到期
1j.cz,registered,28.01.2026,79,正常注册，79天后到期
1k.cz,registered,01.11.2027,721,正常注册，721天后到期
1l.cz,registered,26.06.2026,228,正常注册，228天后到期
1m.cz,registered,27.05.2028,929,正常注册，929天后到期
1n.cz,expiring_soon,17.12.2025,37,即将到期（37天）
1o.cz,registered,16.02.2026,98,正常注册，98天后到期
1p.cz,registered,06.10.2028,1061,正常注册，1061天后到期
1q.cz,registered,05.12.2026,390,正常注册，390天后到期
1r.cz,registered,03.11.2026,358,正常注册，358天后到期
1s.cz,registered,19.09.2027,678,正常注册，678天后到期
1t.cz,expiring_soon,17.12.2025,37,即将到期（37天）
1u.cz,registered,17.12.2027,767,正常注册，767天后到期
1v.cz,expiring_soon,17.12.2025,37,即将到期（37天）
1w.cz,registered,15.06.2026,217,正常注册，217天后到期
1x.cz,registered,04.02.2026,86,正常注册，86天后到期
1y.cz,registered,28.01.2026,79,正常注册，79天后到期
1z.cz,registered,08.09.2027,667,正常注册，667天后到期
20.cz,registered,11.05.2026,182,正常注册，182天后到期
21.cz,registered,08.04.2026,149,正常注册，149天后到期
22.cz,expiring_soon,03.01.2026,54,即将到期（54天）
23.cz,expiring_soon,24.11.2025,14,即将到期（14天）
24.cz,registered,21.10.2026,345,正常注册，345天后到期
25.cz,registered,26.03.2027,501,正常注册，501天后到期
26.cz,registered,13.05.2026,184,正常注册，184天后到期
27.cz,registered,18.09.2026,312,正常注册，312天后到期
28.cz,registered,09.09.2032,2495,正常注册，2495天后到期
29.cz,registered,07.06.2026,209,正常注册，209天后到期
2a.cz,registered,18.03.2026,128,正常注册，128天后到期
2b.cz,registered,13.10.2028,1068,正常注册，1068天后到期
2c.cz,registered,22.06.2026,224,正常注册，224天后到期
2d.cz,registered,08.02.2026,90,正常注册，90天后到期
2e.cz,registered,24.02.2026,106,正常注册，106天后到期
2f.cz,registered,09.08.2026,272,正常注册，272天后到期
2g.cz,registered,27.04.2026,168,正常注册，168天后到期
2h.cz,registered,14.01.2026,65,正常注册，65天后到期
2i.cz,registered,21.06.2027,588,正常注册，588天后到期
2j.cz,registered,26.02.2026,108,正常注册，108天后到期
2k.cz,registered,16.11.2026,371,正常注册，371天后到期
2l.cz,registered,23.11.2026,378,正常注册，378天后到期
2m.cz,registered,17.06.2026,219,正常注册，219天后到期
2n.cz,registered,11.10.2029,1431,正常注册，1431天后到期
2o.cz,registered,04.11.2026,359,正常注册，359天后到期
2p.cz,registered,09.03.2026,119,正常注册，119天后到期
2q.cz,registered,21.04.2026,162,正常注册，162天后到期
2r.cz,registered,11.10.2026,335,正常注册，335天后到期
2s.cz,registered,26.09.2026,320,正常注册，320天后到期
2t.cz,expiring_soon,29.12.2025,49,即将到期（49天）
2u.cz,registered,07.11.2026,362,正常注册，362天后到期
2v.cz,registered,30.01.2026,81,正常注册，81天后到期
2w.cz,expiring_soon,06.12.2025,26,即将到期（26天）
2x.cz,registered,21.10.2027,710,正常注册，710天后到期
2y.cz,registered,21.04.2026,162,正常注册，162天后到期
2z.cz,registered,31.01.2026,82,正常注册，82天后到期
30.cz,registered,18.07.2026,250,正常注册，250天后到期
31.cz,registered,24.09.2026,318,正常注册，318天后到期
32.cz,registered,23.04.2026,164,正常注册，164天后到期
33.cz,registered,20.10.2026,344,正常注册，344天后到期
34.cz,registered,26.03.2026,136,正常注册，136天后到期
35.cz,registered,20.01.2027,436,正常注册，436天后到期
36.cz,registered,13.01.2026,64,正常注册，64天后到期
37.cz,registered,22.04.2026,163,正常注册，163天后到期
38.cz,registered,22.04.2026,163,正常注册，163天后到期
39.cz,registered,20.08.2026,283,正常注册，283天后到期
3a.cz,registered,24.10.2026,348,正常注册，348天后到期
3b.cz,registered,20.04.2026,161,正常注册，161天后到期
3c.cz,expiring_soon,20.12.2025,40,即将到期（40天）
3d.cz,registered,24.10.2027,713,正常注册，713天后到期
3e.cz,registered,10.11.2026,365,正常注册，365天后到期
3f.cz,registered,30.01.2026,81,正常注册，81天后到期
