域名,状态,过期日期,剩余天数,备注
00.uk,registered,24-Jun-2026,226,正常注册
01.uk,registered,09-May-2026,180,正常注册
02.uk,registered,10-Jun-2026,212,正常注册
03.uk,registered,26-May-2028,928,正常注册
04.uk,registered,04-Jul-2027,601,正常注册
05.uk,registered,31-May-2027,567,正常注册
06.uk,registered,31-May-2027,567,正常注册
07.uk,registered,10-Jun-2026,212,正常注册
08.uk,registered,31-May-2027,567,正常注册
09.uk,registered,26-May-2027,562,正常注册
0a.uk,registered,04-Oct-2027,693,正常注册
0b.uk,registered,14-Jun-2026,216,正常注册
0c.uk,registered,14-Jun-2026,216,正常注册
0d.uk,registered,14-Jun-2026,216,正常注册
0e.uk,registered,05-Jun-2026,207,正常注册
0f.uk,registered,14-Jun-2026,216,正常注册
0g.uk,registered,03-May-2026,174,正常注册
0h.uk,registered,05-Jun-2026,207,正常注册
0i.uk,registered,05-Jun-2026,207,正常注册
0j.uk,registered,14-Jun-2026,216,正常注册
0k.uk,registered,04-Oct-2027,693,正常注册
0l.uk,registered,14-Jun-2026,216,正常注册
0m.uk,registered,14-Jun-2026,216,正常注册
0n.uk,registered,04-Oct-2027,693,正常注册
0o.uk,registered,01-Jul-2026,233,正常注册
0p.uk,registered,14-Jun-2026,216,正常注册
0q.uk,registered,14-Jun-2026,216,正常注册
0r.uk,registered,14-Jun-2026,216,正常注册
0s.uk,registered,03-May-2026,174,正常注册
0t.uk,registered,14-Jun-2026,216,正常注册
0u.uk,registered,03-May-2026,174,正常注册
0v.uk,registered,14-Jun-2026,216,正常注册
0w.uk,registered,13-Oct-2030,1798,正常注册
0x.uk,registered,07-Oct-2026,331,正常注册
0y.uk,expiring_soon,09-Jan-2026,60,即将到期（60天）
0z.uk,suspended,02-Oct-2025,-39,已暂停，可能即将删除
10.uk,expiring_soon,04-Feb-2026,86,即将到期（86天）
11.uk,registered,24-Jun-2026,226,正常注册
12.uk,registered,24-Jun-2026,226,正常注册
13.uk,registered,24-Jun-2026,226,正常注册
14.uk,registered,24-Jun-2026,226,正常注册
15.uk,registered,24-Jun-2026,226,正常注册
16.uk,registered,24-Jun-2026,226,正常注册
17.uk,registered,24-Jun-2026,226,正常注册
18.uk,registered,24-Jun-2026,226,正常注册
19.uk,registered,01-Jul-2026,233,正常注册
1a.uk,registered,24-Jun-2026,226,正常注册
1b.uk,registered,24-Jun-2026,226,正常注册
1c.uk,registered,24-Jun-2026,226,正常注册
1d.uk,registered,24-Jun-2026,226,正常注册
1e.uk,registered,24-Jun-2026,226,正常注册
1f.uk,registered,24-Jun-2026,226,正常注册
1g.uk,registered,24-Jun-2026,226,正常注册
1h.uk,registered,24-Jun-2026,226,正常注册
1i.uk,registered,24-Jun-2026,226,正常注册
1j.uk,registered,24-Jun-2026,226,正常注册
1k.uk,registered,24-Jun-2026,226,正常注册
1l.uk,registered,24-Jun-2026,226,正常注册
1m.uk,registered,24-Jun-2026,226,正常注册
1n.uk,registered,24-Jun-2026,226,正常注册
1o.uk,registered,24-Jun-2026,226,正常注册
1p.uk,registered,24-Jun-2026,226,正常注册
1q.uk,registered,24-Jun-2026,226,正常注册
1r.uk,registered,24-Jun-2026,226,正常注册
1s.uk,registered,24-Jun-2026,226,正常注册
1t.uk,registered,24-Jun-2026,226,正常注册
1u.uk,registered,24-Jun-2026,226,正常注册
1v.uk,registered,24-Jun-2026,226,正常注册
1w.uk,registered,24-Jun-2026,226,正常注册
1x.uk,registered,24-Jun-2026,226,正常注册
1y.uk,registered,24-Jun-2026,226,正常注册
1z.uk,registered,24-Jun-2026,226,正常注册
20.uk,registered,30-Oct-2026,354,正常注册
21.uk,expiring_soon,12-Dec-2025,32,即将到期（32天）
22.uk,registered,03-Jun-2026,205,正常注册
23.uk,expiring_soon,02-Jan-2026,53,即将到期（53天）
24.uk,registered,10-Jun-2026,212,正常注册
25.uk,registered,03-Jun-2026,205,正常注册
26.uk,registered,14-Jun-2026,216,正常注册
27.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
28.uk,registered,14-Jun-2026,216,正常注册
29.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
2a.uk,registered,14-Aug-2027,642,正常注册
2b.uk,registered,10-Jun-2026,212,正常注册
2c.uk,registered,10-Jun-2026,212,正常注册
2d.uk,registered,23-Jul-2026,255,正常注册
2e.uk,registered,02-Feb-2028,814,正常注册
2f.uk,registered,01-Jul-2026,233,正常注册
2g.uk,registered,30-Oct-2026,354,正常注册
2h.uk,registered,30-Oct-2026,354,正常注册
2i.uk,registered,30-Oct-2026,354,正常注册
2j.uk,registered,30-Oct-2026,354,正常注册
2k.uk,expiring_soon,14-Nov-2025,4,即将到期（4天）
2l.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
2m.uk,registered,23-Jul-2026,255,正常注册
2n.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
2o.uk,expiring_soon,18-Dec-2025,38,即将到期（38天）
2p.uk,registered,30-Oct-2026,354,正常注册
2q.uk,registered,30-Oct-2026,354,正常注册
2r.uk,registered,30-Oct-2026,354,正常注册
2s.uk,registered,30-Mar-2026,140,正常注册
2t.uk,registered,03-Aug-2026,266,正常注册
2u.uk,expiring_soon,14-Nov-2025,4,即将到期（4天）
2v.uk,registered,30-Oct-2027,719,正常注册
2w.uk,registered,30-Oct-2026,354,正常注册
2x.uk,registered,17-Jun-2026,219,正常注册
2y.uk,registered,30-Oct-2026,354,正常注册
2z.uk,registered,01-Jul-2027,598,正常注册
30.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
31.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
32.uk,registered,10-Jun-2026,212,正常注册
33.uk,registered,03-Jun-2026,205,正常注册
34.uk,registered,10-Jun-2026,212,正常注册
35.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
36.uk,expiring_soon,10-Dec-2025,30,即将到期（30天）
37.uk,registered,02-Nov-2026,357,正常注册
38.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
39.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
3a.uk,registered,14-Aug-2027,642,正常注册
3b.uk,registered,01-Jul-2026,233,正常注册
3c.uk,expiring_soon,17-Jan-2026,68,即将到期（68天）
3d.uk,registered,17-Feb-2026,99,正常注册
3e.uk,registered,28-Mar-2026,138,正常注册
3f.uk,registered,08-Jun-2026,210,正常注册
3g.uk,registered,20-Apr-2027,526,正常注册
3h.uk,registered,30-Oct-2026,354,正常注册
3i.uk,expiring_soon,17-Nov-2025,7,即将到期（7天）
3j.uk,registered,30-Oct-2026,354,正常注册
3k.uk,registered,29-Mar-2026,139,正常注册
3l.uk,registered,29-Mar-2026,139,正常注册
3m.uk,registered,10-Jun-2026,212,正常注册
3n.uk,registered,14-Sep-2029,1404,正常注册
3o.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
3p.uk,expiring_soon,02-Feb-2026,84,即将到期（84天）
3q.uk,registered,11-Jul-2026,243,正常注册
3r.uk,registered,13-Jun-2026,215,正常注册
3s.uk,registered,29-Mar-2026,139,正常注册
3t.uk,registered,09-Apr-2026,150,正常注册
3u.uk,registered,14-Sep-2026,308,正常注册
3v.uk,registered,09-Jul-2026,241,正常注册
3w.uk,expiring_soon,19-Jan-2026,70,即将到期（70天）
3x.uk,registered,04-Oct-2026,328,正常注册
3y.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
3z.uk,registered,24-Jun-2027,591,正常注册
40.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
41.uk,registered,12-Jun-2026,214,正常注册
42.uk,registered,24-Mar-2027,499,正常注册
43.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
44.uk,registered,10-Sep-2026,304,正常注册
45.uk,registered,30-Oct-2026,354,正常注册
46.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
47.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
48.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
49.uk,registered,03-Jun-2026,205,正常注册
4a.uk,registered,14-Aug-2027,642,正常注册
4b.uk,registered,30-Oct-2026,354,正常注册
4c.uk,registered,04-Oct-2026,328,正常注册
4d.uk,registered,05-Jun-2026,207,正常注册
4e.uk,registered,01-Jul-2026,233,正常注册
4f.uk,registered,30-Oct-2026,354,正常注册
4g.uk,registered,20-Apr-2027,526,正常注册
4h.uk,registered,30-Oct-2026,354,正常注册
4i.uk,registered,10-Sep-2029,1400,正常注册
4j.uk,registered,30-Oct-2026,354,正常注册
4k.uk,registered,30-Mar-2026,140,正常注册
4l.uk,registered,30-Oct-2026,354,正常注册
4m.uk,registered,14-Dec-2027,764,正常注册
4n.uk,registered,14-Sep-2026,308,正常注册
4o.uk,registered,17-Sep-2026,311,正常注册
4p.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
4q.uk,expiring_soon,17-Jan-2026,68,即将到期（68天）
4r.uk,registered,26-Sep-2026,320,正常注册
4s.uk,registered,04-Aug-2030,1728,正常注册
4t.uk,registered,30-Oct-2026,354,正常注册
4u.uk,registered,30-Aug-2026,293,正常注册
4v.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
4w.uk,expiring_soon,16-Jan-2026,67,即将到期（67天）
4x.uk,expiring_soon,04-Jan-2026,55,即将到期（55天）
4y.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
4z.uk,registered,01-Jul-2026,233,正常注册
50.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
51.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
52.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
53.uk,expiring_soon,02-Feb-2026,84,即将到期（84天）
54.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
55.uk,registered,26-May-2027,562,正常注册
56.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
57.uk,registered,30-Oct-2026,354,正常注册
58.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
59.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
5a.uk,registered,30-Oct-2026,354,正常注册
5b.uk,registered,30-Oct-2026,354,正常注册
5c.uk,registered,30-Oct-2026,354,正常注册
5d.uk,registered,01-Jul-2026,233,正常注册
5e.uk,expiring_soon,18-Jan-2026,69,即将到期（69天）
5f.uk,registered,30-Oct-2026,354,正常注册
5g.uk,registered,20-Apr-2027,526,正常注册
5h.uk,registered,30-Oct-2026,354,正常注册
5i.uk,registered,21-Mar-2026,131,正常注册
5j.uk,registered,30-Oct-2026,354,正常注册
5k.uk,registered,30-Oct-2029,1450,正常注册
5l.uk,registered,14-Sep-2029,1404,正常注册
5m.uk,registered,25-Oct-2027,714,正常注册
5n.uk,registered,14-Sep-2029,1404,正常注册
5o.uk,registered,14-Sep-2029,1404,正常注册
5p.uk,registered,24-Jun-2027,591,正常注册
5q.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
5r.uk,registered,30-Oct-2026,354,正常注册
5s.uk,registered,30-Oct-2026,354,正常注册
5t.uk,registered,01-Jul-2034,3155,正常注册
5u.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
5v.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
5w.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
5x.uk,registered,30-Oct-2026,354,正常注册
5y.uk,registered,14-Sep-2026,308,正常注册
5z.uk,registered,01-Jul-2026,233,正常注册
60.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
61.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
62.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
63.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
64.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
65.uk,registered,12-Mar-2027,487,正常注册
66.uk,registered,26-May-2027,562,正常注册
67.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
68.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
69.uk,expiring_soon,30-Jan-2026,81,即将到期（81天）
6a.uk,registered,01-Jul-2027,598,正常注册
6b.uk,registered,30-Oct-2026,354,正常注册
6c.uk,registered,07-Oct-2026,331,正常注册
6d.uk,registered,30-Oct-2029,1450,正常注册
6e.uk,registered,30-Oct-2026,354,正常注册
6f.uk,registered,30-Oct-2026,354,正常注册
6g.uk,registered,26-Jun-2026,228,正常注册
6h.uk,registered,30-Oct-2026,354,正常注册
6i.uk,registered,30-Oct-2026,354,正常注册
6j.uk,registered,30-Oct-2026,354,正常注册
6k.uk,registered,30-Oct-2026,354,正常注册
6l.uk,registered,14-Sep-2029,1404,正常注册
6m.uk,registered,30-Oct-2026,354,正常注册
6n.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
6o.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
6p.uk,registered,14-Sep-2026,308,正常注册
6q.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
6r.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
6s.uk,registered,05-Jul-2026,237,正常注册
6t.uk,registered,25-Jun-2027,592,正常注册
6u.uk,registered,14-Sep-2029,1404,正常注册
6v.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
6w.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
6x.uk,registered,27-Jul-2026,259,正常注册
6y.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
6z.uk,registered,01-Jul-2026,233,正常注册
70.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
71.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
72.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
73.uk,registered,24-Apr-2026,165,正常注册
74.uk,registered,01-Jul-2026,233,正常注册
75.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
76.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
77.uk,registered,26-May-2027,562,正常注册
78.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
79.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
7a.uk,registered,22-Sep-2027,681,正常注册
7b.uk,registered,30-Oct-2026,354,正常注册
7c.uk,registered,25-Oct-2027,714,正常注册
7d.uk,registered,30-Oct-2029,1450,正常注册
7e.uk,registered,01-Jul-2027,598,正常注册
7f.uk,registered,02-Feb-2027,449,正常注册
7g.uk,registered,30-Oct-2026,354,正常注册
7h.uk,registered,30-Oct-2026,354,正常注册
7i.uk,registered,30-Oct-2026,354,正常注册
7j.uk,registered,30-Oct-2026,354,正常注册
7k.uk,registered,30-Oct-2026,354,正常注册
7l.uk,registered,14-Sep-2029,1404,正常注册
7m.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
7n.uk,registered,25-Jun-2027,592,正常注册
7o.uk,registered,14-Sep-2029,1404,正常注册
7p.uk,registered,14-Sep-2029,1404,正常注册
7q.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
7r.uk,registered,14-Sep-2029,1404,正常注册
7s.uk,registered,01-Jul-2026,233,正常注册
7t.uk,registered,03-Oct-2026,327,正常注册
7u.uk,registered,14-Sep-2027,673,正常注册
7v.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
7w.uk,registered,14-Sep-2027,673,正常注册
7x.uk,registered,30-Oct-2026,354,正常注册
7y.uk,registered,01-Jul-2026,233,正常注册
7z.uk,registered,01-Jul-2027,598,正常注册
80.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
81.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
82.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
83.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
84.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
85.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
86.uk,registered,01-Jul-2026,233,正常注册
87.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
88.uk,registered,23-Jul-2026,255,正常注册
89.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
8a.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
8b.uk,registered,30-Oct-2026,354,正常注册
8c.uk,registered,30-Oct-2026,354,正常注册
8d.uk,registered,30-Oct-2026,354,正常注册
8e.uk,registered,30-Oct-2026,354,正常注册
8f.uk,registered,30-Oct-2026,354,正常注册
8g.uk,expiring_soon,30-Jan-2026,81,即将到期（81天）
8h.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
8i.uk,registered,15-Aug-2026,278,正常注册
8j.uk,registered,30-Oct-2026,354,正常注册
8k.uk,expiring_soon,30-Oct-2025,-11,即将到期（-11天）
8l.uk,registered,14-Sep-2029,1404,正常注册
8m.uk,registered,01-Jul-2026,233,正常注册
8n.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
8o.uk,registered,14-Sep-2029,1404,正常注册
8p.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
8q.uk,suspended,14-Sep-2025,-57,已暂停，可能即将删除
8r.uk,registered,14-Sep-2029,1404,正常注册
8s.uk,registered,14-Sep-2029,1404,正常注册
8t.uk,registered,10-Jun-2026,212,正常注册
8u.uk,registered,14-Sep-2027,673,正常注册
8v.uk,registered,14-Sep-2026,308,正常注册
8w.uk,registered,01-Jul-2026,233,正常注册
